State,Region,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,Disp_Inc_2015,Disp_Inc_2016,Disp_Inc_2017,Disp_Inc_2018,Disp_Inc_2019,Disp_Inc_2020,mean disp income,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20),% annual change,Gas_Price_2016,Gas_Price_2017,Gas_Price_2018,Gas_Price_2019,Gas_Price_2020,mean gas price,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20)
Missouri,Midwest,42718,42985,43346,43539,44033,44165,44349,44686,44864,45141,45416,45935,46324,47106,47274,47705,48285,48387,48830,49099,49564,53036,43147,44308,45339,47102,48650,48735,46827,1975,2.33%,3.89%,3.29%,0.17%,9.99%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Montana,Midwest,43515,43627,43825,43475,43519,43691,44052,44776,45516,46182,46360,46780,47591,48083,48270,48804,49172,49377,50003,50407,50589,56030,43611,44010,46210,48187,49740,50644,47758,2687,5.00%,4.28%,3.22%,1.82%,15.07%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Nebraska,Midwest,50399,50738,51040,50664,49732,49562,49524,49670,49758,50442,50735,51621,52069,52494,52834,54147,53935,53936,54919,55247,55810,58806,50710,49622,50639,52886,54509,54443,52420,2218,2.05%,4.44%,3.07%,-0.12%,9.72%,2.21,2.5,2.87,2.74,2.35,2.53,0.27,13.12%,14.80%,-4.53%,-14.23%
Nevada,WestCoast,43702,44294,44407,44805,44595,44957,46150,45648,46879,47423,48061,48152,49485,49678,50166,50671,50840,51042,51193,51533,52031,57987,44302,45338,47629,50000,51152,52259,49276,2791,5.05%,4.98%,2.30%,2.16%,15.27%,2.65,2.95,3.38,3.43,2.92,3.07,0.33,11.32%,14.58%,1.48%,-14.87%
New Hampshire,EastCoast,53375,54345,54588,55733,55687,56396,56948,56982,57790,58224,59372,59655,60834,61165,61872,61948,63490,63375,63466,63650,64685,67815,54510,56503,58760,61455,63495,62938,60630,2947,3.99%,4.59%,3.32%,-0.88%,11.39%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
New Jersey,EastCoast,60544,60956,61475,61596,62392,62517,62961,63414,63802,64617,65359,66161,66755,67486,68339,68775,69809,70273,70663,71089,72056,81429,61143,62821,64985,67839,70459,72905,67802,4057,3.44%,4.39%,3.86%,3.47%,16.05%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
New Mexico,GulfCoast,38009,38299,38342,38572,38682,39070,39130,39206,39394,39536,39824,40192,40997,41423,41935,42263,42816,43125,43533,43798,44303,48194,38306,39022,39737,41655,43318,43936,41534,2151,1.83%,4.83%,3.99%,1.43%,12.59%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
New York,EastCoast,58254,59166,59813,59736,60847,61021,61380,62351,64320,65193,66055,67671,67650,68391,69167,69415,70753,71588,71961,72516,73225,77014,59242,61400,65810,68656,71705,71364,67787,4290,7.18%,4.32%,4.44%,-0.48%,16.23%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
North Carolina,EastCoast,41406,41681,42025,42166,42508,42591,42859,43300,43845,44205,44528,45024,45525,46065,46380,46878,47376,47664,47841,48153,48771,51080,41820,42815,44401,46212,47759,47429,45723,2092,3.70%,4.08%,3.35%,-0.69%,10.78%,2.36,2.62,2.9,2.73,2.32,2.59,0.25,11.02%,10.69%,-5.86%,-15.02%
North Dakota,Midwest,55253,53801,53309,53252,51582,51576,52110,52037,52343,52884,52563,53042,54461,55251,55949,57435,56999,56470,57708,57690,58149,63670,53904,51826,52708,55774,57217,57864,55078,2693,1.70%,5.82%,2.59%,1.13%,11.65%,2.21,2.46,2.67,2.49,2.09,2.38,0.23,11.31%,8.54%,-6.74%,-16.06%
Ohio,Midwest,43871,44268,44556,44892,44842,45073,45251,45694,46248,46558,47007,47490,47993,48468,49076,49432,49835,49994,50296,50651,51091,55340,44397,45215,46826,48742,50194,50555,48306,2267,3.56%,4.09%,2.98%,0.72%,11.81%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Oklahoma,Midwest,44765,44192,44191,43679,41997,41811,41806,41974,42868,43637,44065,44558,45149,45563,46059,46532,47296,47170,47406,47471,47693,52469,44207,41897,43782,45826,47336,47577,45284,2423,4.50%,4.67%,3.30%,0.51%,13.56%,2.19,2.38,2.62,2.54,2.08,2.36,0.23,8.68%,10.08%,-3.05%,-18.11%
Oregon,WestCoast,44543,44891,45513,45550,46332,46434,46590,47070,47811,48583,48976,49729,50648,51209,51942,52181,52736,52953,53206,53842,54348,59512,45124,46607,48775,51495,53184,54084,50829,3108,4.65%,5.58%,3.28%,1.69%,16.04%,2.14,2.41,2.67,2.54,2.09,2.37,0.25,12.62%,10.79%,-4.87%,-17.72%
Pennsylvania,EastCoast,49843,50147,50607,50998,51221,51523,52130,52350,52469,52862,53612,54229,55037,55606,56526,56951,57564,57887,58093,58539,59028,64816,50399,51806,53293,56030,58021,58826,55595,3007,2.87%,5.14%,3.55%,1.39%,13.55%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
